Name,SMILES,Properties,Molecular Weight,LogP,Hydrogen Donors,Hydrogen Acceptors,Therapeutic Class,Chemical Structure Type,Origin,Half-Life,Metabolism,Protein Binding
Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,Analgesic,180.16,1.31,1,3,Pain Reliever,Non-steroidal Anti-inflammatory,Synthetic,15-20 minutes,Liver,50-80%
Ibuprofen,CC(C)Cc1ccc(cc1)[C@H](C)C(=O)O,Anti-inflammatory,206.28,3.07,1,2,Pain Management,Non-steroidal Anti-inflammatory,Synthetic,2-4 hours,Liver,99%
Paracetamol,CC(=O)Nc1ccc(O)cc1,Pain Reliever,151.16,1.35,2,2,Analgesic,Aniline Derivative,Synthetic,2-3 hours,Liver,25%
Metformin,CN(C)C(=N)NC(=N)N,Diabetes Medication,129.16,-0.89,4,6,Antidiabetic,Biguanide,Synthetic,6 hours,Kidney,Less than 20%
Atorvastatin,CC(C)C1=C(C(=O)NC1CCC(O)CC(O)CC(O)=O)C2=C(C=CC(=C2)F)N3C=CC=CC3=N,Cholesterol Medication,558.64,5.54,3,5,Lipid Lowering,Statin,Synthetic,14 hours,Liver,98%
Lisinopril,N[C@@H](CCCNC(=N)N)C(=O)O,Hypertension Medication,297.37,-0.41,3,4,ACE Inhibitor,Peptide Derivative,Synthetic,12 hours,Kidney,Less than 25%
Levothyroxine,CC(C)C1=C(C(=O)NC1CCC(O)CC(O)CC(O)=O)C2=C(C=CC(=C2)F)N3C=CC=CC3=N,Thyroid Hormone,797.34,5.67,4,6,Hormone Replacement,Synthetic Thyroid Hormone,Synthetic,7 days,Multiple organs,99%
Warfarin,CC(=O)CC(C1=CC=CC=C1)C2=C(O)C3=CC=CC=C3OC2=O,Blood Thinner,308.33,2.88,1,3,Anticoagulant,Coumarin Derivative,Natural/Synthetic,40 hours,Liver,99%
Metoprolol,COC1=CC=C(CC(O)CNC(C)C)C(OC)=C1,Beta Blocker,267.34,1.84,2,3,Cardiovascular,Beta-Blocker,Synthetic,3-7 hours,Liver,50%
Losartan,CC(C)CN1C(=O)CN=C(c2ccc(Cl)cc2)c3ccccc3N1,Blood Pressure Medication,422.88,4.33,1,3,Angiotensin II Receptor Antagonist,Synthetic,Synthetic,2 hours,Liver,99%
Sertraline,Cc1ccc(cc1)C(C(C)C)c2c(Cl)cc(Cl)c(N)c2Cl,Antidepressant,342.84,5.34,1,2,SSRI Antidepressant,Synthetic,Synthetic,26 hours,Liver,98%
Simvastatin,CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC(O)CC(O)CC(O)=O)C21,Cholesterol Medication,432.57,4.54,2,4,Lipid Lowering,Statin,Synthetic,3 hours,Liver,95%
Omeprazole,COc1ccc2c(c1)SC(=O)N2C(C)OC,Acid Reflux Medication,345.41,2.22,1,3,Proton Pump Inhibitor,Benzimidazole Derivative,Synthetic,1-2 hours,Liver,95%
Amlodipine,CCOC(=O)C1CN2CCC1CC2C3=C(C=CC(=C3)Cl)C(=O)OC,Blood Pressure Medication,409.87,4.32,1,4,Calcium Channel Blocker,Dihydropyridine,Synthetic,30-50 hours,Liver,97%
Pantoprazole,COc1ccc2c(c1)SC(=O)NC2N(C)C(=O)C(F)(F)F,Acid Reflux Medication,463.48,3.00,1,5,Proton Pump Inhibitor,Substituted Benzimidazole,Synthetic,1 hour,Liver,98%
